code_insee,commune,dep,PMUN,dans_MEL,apl_mg,apl_mg_m65,apl_inf,apl_kine,apl_dent,apl_sf,pop_std_sante,pop_totale_2022,apl_mg_2022,apl_mg_evol_pct,acces_urgences_moy_min,acces_urgences_min_min,acces_maternite_moy_min,acces_maternite_min_min,acces_hopital_moy_min,acces_hopital_min_min,acces_pharmacie_moy_min,acces_pharmacie_min_min,acces_msp_moy_min,acces_msp_min_min,msp_sur_place
59024,Auberchicourt,59,4626,False,3.11,2.8,164.58,74.51,23.82,12.14,4586.75,4626.0,3.52,-11.58,14.05,12.09,13.72,12.04,8.5,6.81,1.9,1.0,3.06,1.3,True
59025,Aubers,59,1722,True,5.06,4.84,160.51,172.08,63.87,23.25,1755.45,1746.0,4.92,2.97,18.13,15.0,18.2,15.0,18.2,15.0,2.01,1.0,2.22,1.0,True
59026,Aubigny-au-Bac,59,1159,False,3.5,3.05,240.65,127.98,45.87,12.25,1141.01,1167.0,3.64,-3.71,12.42,10.4,14.54,12.52,12.42,10.4,1.45,1.0,9.93,7.91,False
59027,Aubry-du-Hainaut,59,1726,False,5.91,5.22,264.76,175.84,72.2,22.08,1703.37,1715.0,6.13,-3.54,4.93,2.88,4.93,2.88,4.93,2.88,3.15,1.18,7.43,5.66,False
59028,Auby,59,7188,False,4.24,3.88,201.92,152.02,65.67,21.82,7024.27,7171.0,4.54,-6.42,11.66,7.67,12.14,8.87,10.58,7.31,1.88,1.0,6.45,3.24,False
59029,Auchy-lez-Orchies,59,1486,False,6.44,6.01,234.62,225.26,84.73,29.9,1484.52,1542.0,6.33,1.74,21.29,18.68,21.87,19.18,20.13,18.42,5.35,3.46,5.79,3.49,False
59032,Aulnoy-lez-Valenciennes,59,7183,False,6.21,5.45,264.97,197.94,79.81,22.96,6896.78,7125.0,6.39,-2.8,8.4,6.42,8.4,6.42,8.85,6.87,1.72,1.0,2.71,1.0,True
59034,Avelin,59,2600,False,8.19,7.56,324.45,343.38,124.85,34.01,2552.48,2575.0,8.7,-5.87,10.8,7.94,11.3,8.43,10.42,7.68,2.23,1.0,6.16,3.81,False
59038,Avesnes-le-Sec,59,1447,False,2.78,2.25,169.8,76.74,22.15,14.73,1413.63,1453.0,3.01,-7.35,16.57,15.13,16.15,14.71,16.57,15.13,1.13,1.0,7.88,5.97,False
59042,Bachy,59,1883,False,3.95,3.63,127.82,148.33,40.85,8.73,1817.7,1890.0,3.88,1.7,25.16,23.55,25.16,23.55,24.16,21.61,3.86,2.14,5.44,2.14,False
59043,Bailleul,59,14869,False,4.87,4.42,129.53,155.83,54.35,19.54,14916.98,14734.0,4.74,2.79,13.89,8.61,13.89,8.61,3.63,1.0,2.36,1.0,3.8,1.0,True
59044,Baisieux,59,5177,True,5.03,4.74,183.06,215.25,74.91,28.5,5183.35,5361.0,5.07,-0.77,15.7,12.95,15.5,12.95,15.73,13.72,1.94,1.0,3.87,1.71,True
59052,Bauvin,59,4999,True,3.24,2.92,135.83,122.37,39.3,16.33,5026.96,5124.0,3.42,-5.26,16.59,14.54,16.3,14.54,15.84,13.94,1.41,1.0,2.52,1.0,True
59054,Bavinchove,59,1046,False,3.49,2.79,118.73,129.15,43.11,21.06,1006.54,1046.0,3.73,-6.62,12.77,9.82,12.77,9.82,12.77,9.82,5.17,3.48,5.04,3.29,False
59064,Bellaing,59,1329,False,3.8,3.29,186.24,96.96,32.48,15.5,1348.85,1315.0,4.12,-7.88,7.0,5.5,7.0,5.5,7.0,5.5,2.12,1.0,9.78,8.28,False
59071,Bersée,59,2296,False,4.94,4.56,189.5,184.0,59.8,17.38,2253.43,2289.0,4.97,-0.72,19.62,16.69,20.12,17.18,17.26,14.49,2.57,1.0,5.16,2.39,False
59079,Beuvrages,59,6784,False,4.05,3.65,169.02,129.77,63.23,18.92,6550.42,6791.0,4.0,1.22,7.26,4.97,7.58,5.38,7.26,4.97,1.58,1.0,9.97,7.66,False
59080,Beuvry-la-Forêt,59,2834,False,4.3,3.93,142.76,129.34,43.88,21.71,2880.09,2852.0,4.2,2.48,21.24,14.94,20.92,14.94,15.68,12.03,2.91,1.0,6.7,2.95,False
59082,Bierne,59,1772,False,4.16,3.72,180.97,153.49,57.16,23.49,1691.08,1744.0,3.88,7.08,12.35,9.9,15.12,9.9,8.06,2.83,4.16,1.41,8.87,6.95,False
59084,Blaringhem,59,2043,False,4.3,3.69,168.17,146.32,54.67,18.62,2006.26,2046.0,4.52,-4.8,16.17,11.38,16.03,11.38,15.49,10.48,2.06,1.0,7.51,2.03,False
59086,Boeschepe,59,2179,False,2.63,2.41,67.44,80.72,23.9,13.43,2214.03,2212.0,2.6,1.35,20.14,17.04,20.14,17.04,14.85,8.48,2.9,1.0,3.15,1.0,True
59088,Bois-Grenier,59,1793,True,7.74,7.1,236.28,303.54,100.46,36.01,1767.05,1784.0,7.77,-0.39,6.27,3.49,6.27,3.49,6.27,3.49,1.47,1.0,1.59,1.0,True
59089,Bollezeele,59,1423,False,2.71,2.36,104.83,116.92,28.43,13.94,1486.68,1425.0,2.7,0.48,23.22,20.3,28.07,23.72,23.15,20.27,1.62,1.0,12.39,9.94,False
59090,Bondues,59,9713,True,7.37,6.87,295.33,290.94,108.29,34.13,9898.08,9666.0,7.34,0.3,13.14,9.35,12.61,8.18,7.05,2.86,2.44,1.0,6.62,2.27,False
59094,Bourbourg,59,7023,False,3.24,2.78,163.16,114.53,43.21,23.24,6928.78,6958.0,3.02,7.04,13.13,8.36,18.58,15.09,13.1,8.32,1.43,1.0,1.72,1.0,True
59096,Bourghelles,59,1673,False,3.01,2.73,98.38,116.92,27.48,10.01,1654.32,1678.0,2.95,2.13,22.82,20.92,22.82,20.92,22.03,20.13,2.19,1.0,8.0,4.11,False
59098,Bousbecque,59,4847,True,4.56,4.29,158.44,167.3,52.96,15.91,4832.76,4956.0,4.68,-2.44,14.65,12.53,14.65,12.53,9.0,5.43,1.92,1.0,6.62,2.95,False
59105,Bouvignies,59,1548,False,2.98,2.81,124.87,95.39,31.46,14.04,1541.2,1564.0,2.94,1.5,24.31,21.42,23.89,20.99,14.22,11.32,6.95,4.11,11.45,8.1,False
59112,Bruay-sur-l'Escaut,59,11309,False,4.12,3.69,192.16,150.4,65.36,18.46,11157.97,11584.0,4.22,-2.58,9.27,4.99,6.98,3.28,6.96,3.28,1.94,1.0,8.29,4.81,False
59114,Bruille-Saint-Amand,59,1682,False,5.03,4.4,178.97,171.93,50.2,13.82,1715.64,1693.0,5.25,-4.15,20.61,17.59,18.42,15.69,9.91,6.91,3.09,1.0,7.35,4.83,False
59113,Bruille-lez-Marchiennes,59,1350,False,3.93,3.53,202.34,98.29,36.36,21.05,1292.84,1345.0,4.4,-10.6,15.71,13.41,15.7,12.99,4.53,3.35,4.38,3.15,6.71,3.69,False
59117,Bugnicourt,59,1074,False,3.23,2.8,174.38,94.13,24.91,11.14,1063.3,1084.0,3.39,-4.78,8.84,7.89,10.97,10.02,8.84,7.89,4.4,2.72,6.81,5.38,False
59122,Cambrai,59,31425,False,2.92,2.62,269.54,136.07,74.67,12.5,32219.69,31568.0,3.46,-15.48,4.13,1.0,3.15,1.0,2.78,1.0,1.52,1.0,6.42,1.13,True
59123,Camphin-en-Carembault,59,1714,False,5.47,4.9,240.08,218.64,74.0,29.84,1702.87,1725.0,6.07,-9.98,8.41,6.22,8.96,6.72,8.14,6.57,2.23,1.0,4.92,2.29,False
59124,Camphin-en-Pévèle,59,2501,False,4.3,4.04,150.35,188.52,62.56,26.87,2380.4,2506.0,4.28,0.44,14.95,12.44,14.95,12.44,18.18,15.67,4.05,1.0,9.08,5.82,False
59126,Cantin,59,1770,False,3.85,3.29,205.75,129.46,38.59,14.73,1701.29,1755.0,4.1,-6.12,6.46,3.6,8.58,5.72,6.46,3.6,1.39,1.0,7.29,3.5,False
59128,Capinghem,59,2474,True,9.56,8.75,320.94,391.09,126.28,42.12,2587.7,2601.0,9.41,1.57,4.11,2.43,5.89,3.92,4.11,2.43,3.13,1.0,4.37,2.43,False
59129,Cappelle-en-Pévèle,59,2262,False,4.46,4.16,163.88,174.96,58.34,14.23,2174.22,2259.0,4.44,0.29,17.53,15.59,18.03,16.09,17.23,15.33,2.04,1.0,5.02,3.16,False
59133,Carnin,59,1076,True,4.62,4.17,181.88,185.51,61.76,21.93,1083.14,1097.0,4.94,-6.48,9.44,7.98,8.95,7.49,8.81,7.35,3.49,2.09,1.24,1.0,True
59135,Cassel,59,2227,False,3.53,2.89,120.82,135.41,45.17,20.47,2251.08,2212.0,3.63,-2.7,12.84,7.67,12.84,7.67,12.84,7.67,2.4,1.0,2.25,1.0,True
59120,Caëstre,59,2006,False,4.87,4.23,146.67,161.54,69.7,22.92,1921.0,1979.0,4.79,1.67,7.67,5.0,7.67,5.0,7.66,5.0,1.5,1.0,7.56,4.9,False
59146,Chéreng,59,3001,True,4.31,4.04,168.07,165.74,62.71,20.02,3079.35,3040.0,4.41,-2.25,15.66,13.67,15.27,13.48,14.74,12.28,2.51,1.0,4.49,2.56,False
59152,Comines,59,12671,True,3.18,3.0,105.79,122.93,35.22,10.36,12294.76,12649.0,3.41,-6.77,20.1,15.94,19.99,15.94,15.16,10.74,2.26,1.0,2.44,1.0,True
59153,Condé-sur-l'Escaut,59,9396,False,3.96,3.5,181.04,151.11,46.41,15.71,9307.0,9297.0,4.22,-6.25,21.62,15.97,16.57,10.92,16.53,10.92,1.94,1.0,3.71,1.0,True
59155,Coudekerque-Branche,59,20765,False,4.07,3.53,220.02,153.45,72.54,18.36,20723.86,20833.0,4.1,-0.83,5.33,1.68,5.33,1.68,4.21,1.0,1.14,1.0,5.98,3.06,False
59156,Courchelettes,59,2881,False,3.16,2.76,150.62,115.22,46.61,16.28,2983.91,2868.0,3.56,-11.48,4.76,2.14,5.04,2.42,4.72,2.1,1.4,1.0,6.71,5.26,False
59158,Coutiches,59,3246,False,5.93,5.54,219.03,204.42,76.8,29.95,3223.46,3341.0,5.76,2.97,24.15,20.63,24.47,20.91,19.66,16.33,3.19,1.0,7.86,4.26,False
59163,Croix,59,20778,True,6.51,5.88,244.88,284.18,87.33,29.33,20490.08,20956.0,6.7,-2.85,4.1,1.49,4.09,1.49,4.07,1.49,1.29,1.0,3.03,1.0,True
59165,Cuincy,59,6472,False,5.05,4.6,261.67,190.17,86.56,25.91,6505.5,6499.0,5.72,-11.68,6.51,4.67,6.79,4.95,5.95,4.47,1.71,1.0,3.21,1.7,True
59166,Curgies,59,1347,False,6.64,5.95,283.65,212.52,82.5,27.35,1319.66,1351.0,6.85,-3.02,11.84,10.66,9.86,8.66,9.86,8.66,2.6,1.4,9.82,7.89,False
59168,Cysoing,59,4722,False,4.28,4.01,138.42,167.69,51.85,17.64,4769.7,4717.0,4.24,0.92,19.89,15.89,19.89,15.89,19.1,13.52,1.63,1.0,6.35,2.38,False
59170,Dechy,59,5351,False,3.95,3.46,197.15,127.98,55.0,17.66,5357.45,5343.0,4.39,-10.03,5.83,1.18,6.8,3.31,5.83,1.18,1.89,1.0,2.23,1.0,True
59172,Denain,59,20640,False,3.43,2.98,192.17,82.09,25.69,18.44,19545.89,20622.0,3.95,-13.1,3.08,1.0,2.43,1.0,3.08,1.0,1.5,1.0,3.1,1.0,True
59173,Deûlémont,59,1819,True,4.67,4.31,156.62,198.12,59.53,18.26,1707.39,1801.0,4.92,-5.1,14.28,12.14,14.22,12.14,14.24,12.14,4.33,1.44,6.35,3.99,False
59670,Don,59,1412,True,2.93,2.68,103.32,122.24,35.29,19.46,1368.98,1401.0,3.0,-2.17,14.76,12.95,14.27,12.46,14.13,12.32,1.63,1.0,5.24,3.45,False
59178,Douai,59,39648,False,3.16,2.92,152.01,120.28,56.88,16.48,38743.42,39833.0,3.52,-10.17,5.43,1.71,5.76,1.99,3.88,1.0,1.74,1.0,3.22,1.0,True
59179,Douchy-les-Mines,59,10207,False,5.3,4.62,265.56,138.63,51.56,24.84,9839.89,10112.0,5.68,-6.54,6.74,3.73,6.31,3.3,6.74,3.73,1.51,1.0,6.13,3.19,False
59183,Dunkerque,59,86788,False,3.55,3.09,209.4,134.44,61.43,15.12,87423.12,87013.0,3.83,-7.34,5.38,1.0,6.39,1.0,5.2,1.0,1.25,1.0,3.26,1.0,True
59189,Eecke,59,1221,False,4.46,3.87,141.08,154.06,67.57,23.49,1143.39,1215.0,4.38,1.78,9.67,7.28,9.67,7.28,9.67,7.28,3.11,1.0,6.71,4.06,False
59193,Emmerin,59,3053,True,4.94,4.51,210.7,237.39,58.27,25.87,2986.01,3026.0,5.13,-3.86,7.45,5.26,8.29,6.1,6.57,4.39,1.85,1.0,5.32,3.22,False
59196,Ennetières-en-Weppes,59,1293,True,9.51,8.69,310.21,385.82,123.07,40.06,1313.76,1288.0,9.44,0.74,8.75,4.1,9.53,5.11,8.9,4.1,4.22,1.0,7.63,3.31,False
59197,Ennevelin,59,2356,False,4.49,4.2,169.98,191.48,72.22,22.19,2364.08,2417.0,4.72,-4.73,15.26,11.16,15.7,11.66,13.22,10.48,1.76,1.0,1.88,1.0,True
59202,Erquinghem-Lys,59,5356,True,6.38,5.81,183.2,244.7,82.55,31.93,5167.25,5349.0,6.44,-0.98,4.16,1.59,4.16,1.59,4.16,1.59,1.47,1.0,1.87,1.0,True
59203,Erre,59,1574,False,4.19,3.74,229.62,101.44,32.18,21.79,1517.07,1576.0,4.62,-9.24,11.12,8.0,10.7,7.57,5.56,4.3,2.49,1.31,5.52,4.25,False
59205,Escaudain,59,9253,False,4.64,4.07,251.1,115.71,38.3,21.26,8762.62,9060.0,5.23,-11.31,6.48,3.42,6.05,3.0,6.3,3.42,1.79,1.0,2.59,1.0,True
59207,Escautpont,59,4152,False,4.46,3.93,189.33,165.51,54.18,16.32,4071.64,4174.0,4.75,-6.16,13.74,11.03,10.13,7.48,10.13,7.48,1.85,1.0,4.68,2.06,False
59210,Esquelbecq,59,2134,False,3.05,2.68,119.43,136.85,40.84,17.01,2167.78,2143.0,2.96,3.14,21.26,18.11,25.32,22.38,19.07,15.92,1.47,1.0,14.07,10.73,False
59212,Estaires,59,6496,False,4.76,4.48,148.41,144.93,56.32,21.03,6440.49,6551.0,4.7,1.43,16.39,11.5,16.39,11.5,16.0,10.89,1.62,1.0,2.13,1.0,True
59214,Estrées,59,1116,False,3.1,2.55,166.09,103.71,24.79,10.81,1122.59,1121.0,3.26,-4.79,8.98,6.34,10.78,8.13,8.98,6.34,4.03,1.74,6.03,4.67,False
59220,Faches-Thumesnil,59,18110,True,3.0,2.8,123.69,151.28,49.38,18.5,17923.82,18310.0,3.17,-5.18,5.23,2.53,4.86,1.94,3.94,1.11,1.29,1.0,2.5,1.0,True
59221,Famars,59,2475,False,4.9,4.29,219.44,155.78,64.92,19.38,2374.4,2459.0,4.93,-0.61,10.19,8.26,10.19,8.26,10.64,8.7,2.51,1.0,1.74,1.0,True
59222,Faumont,59,2251,False,4.1,3.82,168.43,161.96,52.24,17.17,2183.19,2255.0,4.1,-0.12,19.66,16.2,20.05,16.48,16.59,13.48,5.12,2.78,6.07,3.72,False
59227,Fenain,59,5529,False,3.19,2.87,172.73,79.67,24.79,16.79,5442.32,5533.0,3.53,-9.69,12.98,9.72,12.55,9.29,4.53,2.2,1.58,1.0,4.47,2.15,False
59234,Flers-en-Escrebieux,59,5642,False,6.67,6.01,322.96,223.48,92.73,29.48,5442.54,5533.0,7.2,-7.32,9.05,7.33,9.34,7.61,7.47,5.39,2.71,1.0,5.36,3.23,False
59239,Flines-lez-Raches,59,5610,False,3.24,3.05,135.94,107.63,35.53,18.78,5571.36,5677.0,3.1,4.51,19.8,14.7,20.39,15.66,17.46,13.33,2.74,1.0,8.39,3.56,False
59238,Flines-lès-Mortagne,59,1649,False,2.83,2.49,79.66,101.81,25.65,6.44,1648.54,1667.0,2.75,2.8,28.78,25.2,28.26,24.35,17.12,13.5,3.44,1.0,4.73,1.23,True
59244,Fontaine-Notre-Dame,59,1763,False,3.89,3.46,287.45,146.9,75.41,12.56,1721.54,1759.0,4.27,-8.76,8.94,5.08,8.94,5.08,8.94,5.08,1.48,1.0,6.79,5.16,False
59247,Forest-sur-Marque,59,1659,True,4.96,4.54,208.56,191.34,71.72,27.86,1688.29,1660.0,5.07,-2.19,11.49,10.34,9.33,8.18,8.12,6.97,1.4,1.0,7.05,5.88,False
59250,Fournes-en-Weppes,59,2190,True,5.96,5.63,203.09,226.22,76.03,30.95,2218.66,2167.0,5.91,0.98,13.88,11.44,14.89,12.85,13.88,11.84,1.79,1.0,8.55,6.26,False
59252,Frelinghien,59,2581,True,4.89,4.51,161.62,207.97,62.07,21.34,2586.38,2617.0,5.09,-3.93,10.17,8.24,10.21,8.24,10.13,8.24,2.18,1.0,9.92,6.82,False
59253,Fresnes-sur-Escaut,59,7486,False,4.69,4.14,204.62,175.26,55.99,17.89,7256.04,7473.0,4.98,-5.78,16.64,12.37,11.69,7.32,11.68,7.32,2.49,1.0,2.74,1.0,True
59256,Fretin,59,3227,True,5.01,4.79,174.57,225.27,76.33,24.06,3170.01,3221.0,5.11,-2.02,14.71,9.49,14.78,9.49,10.31,5.67,2.57,1.0,5.27,2.31,False
59257,Fromelles,59,1076,True,5.62,5.3,174.25,217.6,71.86,28.39,1109.68,1133.0,5.59,0.43,15.06,10.31,15.08,10.31,15.06,10.31,3.72,1.88,4.14,2.14,False
59224,Féchain,59,1658,False,2.09,1.91,123.4,57.5,12.96,9.47,1753.0,1654.0,2.36,-11.24,17.08,14.4,19.08,16.52,18.02,14.4,1.46,1.0,14.08,11.9,False
59228,Férin,59,1447,False,3.21,2.79,166.47,110.98,33.53,13.7,1413.25,1441.0,3.57,-10.1,4.63,1.18,6.43,3.31,4.63,1.18,1.32,1.0,5.95,3.31,False
59258,Genech,59,2825,False,4.43,4.11,149.7,166.58,52.33,10.0,2652.91,2811.0,4.38,1.12,25.72,12.85,26.29,12.85,22.47,12.06,1.96,1.0,7.92,4.56,False
59260,Ghyvelde,59,4119,False,3.46,2.98,180.02,138.17,50.04,14.98,4074.28,4126.0,3.34,3.56,11.75,7.59,11.75,7.59,10.68,6.4,2.29,1.0,9.36,3.16,False
59262,Godewaersvelde,59,2053,False,3.8,3.44,118.76,132.64,51.44,24.09,1995.59,2037.0,3.74,1.68,14.54,11.1,14.54,11.1,14.46,11.1,1.83,1.0,7.41,4.06,False
59265,Gommegnies,59,2300,False,3.04,2.62,131.93,86.5,31.7,20.79,2242.5,2272.0,3.18,-4.09,27.15,22.02,26.5,21.02,12.2,5.16,4.24,1.0,9.71,4.57,False
59266,Gondecourt,59,4050,False,4.27,3.88,165.08,198.96,55.82,23.75,4041.0,4099.0,4.63,-7.67,4.91,1.0,4.42,1.0,4.28,1.0,1.61,1.0,6.72,3.66,False
59271,Grande-Synthe,59,20331,False,3.5,3.04,172.49,121.52,60.64,19.46,19489.22,20347.0,3.3,6.28,3.44,1.0,13.19,11.34,3.6,1.0,1.42,1.0,3.41,1.06,True
59275,Gruson,59,1237,True,3.94,3.73,140.75,152.14,51.56,16.86,1236.68,1223.0,3.92,0.51,18.67,17.46,18.67,17.46,17.88,16.67,6.04,4.3,1.33,1.0,True
59276,Guesnain,59,4656,False,2.96,2.6,144.35,89.11,35.15,15.91,4657.95,4645.0,3.28,-9.52,7.59,5.52,8.56,6.49,7.59,5.52,1.76,1.0,2.11,1.0,True
59263,Gœulzin,59,1042,False,3.82,3.23,203.83,130.71,38.94,16.77,1078.97,1044.0,4.03,-5.21,5.56,3.22,7.36,5.02,5.56,3.22,3.7,1.98,6.4,4.49,False
59278,Hallennes-lez-Haubourdin,59,4718,True,10.08,9.28,334.41,401.2,128.69,39.3,4585.62,4739.0,10.01,0.75,8.2,6.19,9.42,7.2,8.38,6.19,2.29,1.0,4.01,1.53,True
59279,Halluin,59,20829,True,2.71,2.53,100.11,98.81,33.18,14.89,19959.46,20684.0,2.66,1.95,10.91,5.39,10.91,5.39,9.33,5.39,1.5,1.0,6.22,3.7,False
59281,Hantay,59,1259,True,3.56,3.29,144.38,134.88,43.14,19.01,1166.16,1249.0,3.57,-0.28,17.56,15.74,17.56,15.74,17.56,15.74,4.47,2.8,7.68,5.78,False
59284,Hasnon,59,3874,False,4.23,3.76,170.66,126.15,50.87,19.18,3773.01,3853.0,4.28,-1.15,13.2,10.33,12.91,10.2,10.35,5.61,2.44,1.0,7.39,4.78,False
59286,Haubourdin,59,14757,True,4.75,4.35,195.4,207.34,54.87,23.52,14710.19,14922.0,4.75,0.06,8.11,5.61,9.3,6.46,7.54,4.74,1.58,1.0,2.29,1.0,True
59292,Haveluy,59,3250,False,3.49,3.01,202.51,85.14,27.46,17.1,3133.03,3224.0,3.96,-11.75,5.06,3.7,3.92,2.56,5.06,3.7,1.26,1.0,6.19,4.83,False
59293,Haverskerque,59,1401,False,3.53,3.15,148.25,110.32,50.87,19.49,1412.67,1385.0,3.46,2.17,14.71,11.86,15.01,11.86,14.71,11.86,4.14,1.15,12.33,6.5,False
59295,Hazebrouck,59,21498,False,3.64,3.0,118.66,119.37,64.12,21.39,22017.39,21785.0,3.59,1.39,2.88,1.0,2.88,1.0,2.88,1.0,1.73,1.0,2.64,1.0,True
59299,Hem,59,18713,True,6.37,5.78,252.35,259.34,90.69,29.31,18518.39,18579.0,6.52,-2.36,6.26,3.24,6.16,2.82,5.83,1.34,1.64,1.0,3.05,1.0,True
59301,Hergnies,59,4463,False,3.49,3.03,124.45,126.54,32.94,11.75,4301.28,4471.0,3.71,-5.95,25.74,22.68,21.32,17.63,15.64,12.57,2.26,1.0,11.52,7.8,False
59303,Herlies,59,2323,True,5.47,5.19,180.9,206.43,64.52,30.28,2259.67,2288.0,5.45,0.42,16.53,14.12,17.51,15.13,16.53,14.12,1.59,1.0,5.12,2.17,False
59305,Herzeele,59,1634,False,4.35,3.93,164.48,169.43,53.56,22.65,1590.47,1627.0,4.18,4.24,20.06,17.63,20.19,17.63,18.56,16.32,1.79,1.0,10.0,6.96,False
59309,Hondschoote,59,4026,False,2.1,1.93,90.68,77.9,19.2,10.87,3960.86,4010.0,1.91,10.06,19.72,15.5,19.72,15.5,18.75,14.31,1.66,1.0,1.61,1.0,True
59314,Hornaing,59,3535,False,3.37,3.0,181.3,86.67,24.23,18.73,3387.03,3522.0,3.66,-7.97,11.35,7.71,10.54,7.28,7.67,5.58,1.82,1.0,6.6,2.15,False
59316,Houplin-Ancoisne,59,3275,True,5.26,4.85,198.4,240.0,70.48,28.48,3310.76,3301.0,5.56,-5.22,9.5,4.66,9.86,5.16,9.87,5.3,2.93,1.0,2.83,1.0,True
59317,Houplines,59,7897,True,5.17,4.64,172.86,233.46,67.64,22.39,7629.7,7907.0,5.47,-5.52,6.61,4.08,6.62,4.08,6.61,4.08,1.67,1.0,8.88,6.09,False
59297,Hélesmes,59,1921,False,4.01,3.58,194.0,99.25,32.45,17.27,1841.36,1905.0,4.3,-6.67,9.39,5.07,8.45,4.14,9.29,5.07,1.49,1.0,6.51,2.62,False
59302,Hérin,59,4129,False,4.66,4.04,215.81,129.51,51.98,19.8,4036.24,4176.0,4.87,-4.29,6.82,4.04,6.82,4.04,6.82,4.04,1.72,1.0,6.08,3.36,False
59320,Illies,59,1664,True,7.13,6.68,268.26,254.96,85.88,33.3,1603.16,1688.0,7.13,0.03,17.69,12.38,17.78,12.38,22.31,17.4,5.51,2.43,6.05,2.69,False
59051,La Bassée,59,6622,True,5.3,5.01,210.87,181.74,68.65,24.42,6623.02,6678.0,5.25,1.05,14.8,12.94,14.8,12.94,16.99,12.94,2.04,1.0,2.1,1.0,True
59143,La Chapelle-d'Armentières,59,8719,True,7.08,6.4,225.09,304.78,96.8,34.1,8736.47,8782.0,7.22,-1.84,4.77,1.34,4.77,1.34,4.77,1.34,1.57,1.0,5.99,2.22,False
59268,La Gorgue,59,5599,False,4.59,4.36,148.98,136.19,57.28,18.93,5475.17,5553.0,4.53,1.5,16.75,11.24,16.8,11.24,16.75,11.24,2.13,1.0,2.49,1.0,True
59368,La Madeleine,59,22488,True,4.6,4.26,158.89,176.19,64.61,22.95,21440.55,22161.0,4.46,3.25,7.58,6.12,7.56,6.12,3.28,1.0,1.29,1.0,4.5,1.68,True
59564,La Sentinelle,59,3143,False,8.38,7.46,370.1,252.73,100.14,27.46,3075.0,3140.0,8.77,-4.38,4.15,2.86,4.15,2.86,4.15,2.86,1.74,1.0,2.96,1.59,True
59327,Lallaing,59,6250,False,4.15,3.81,196.63,126.35,51.04,19.3,6362.78,6212.0,4.38,-5.16,13.34,8.8,14.31,9.77,13.12,8.64,2.16,1.0,5.71,1.7,True
59328,Lambersart,59,27121,True,5.97,5.56,195.76,237.88,84.64,33.42,26995.04,27105.0,5.78,3.36,6.94,3.91,4.23,1.0,3.68,1.0,1.34,1.0,3.1,1.0,True
