code_insee,commune,dep,PMUN,dans_MEL,indice_atmo_moyen,air_pct_jours_bons,air_pct_jours_degrades,air_pct_jours_mauvais,air_nb_jours,artif_pct_2009_2024,imper_pct_2021,imper_flux_2018_2021
59564,La Sentinelle,59,3143,False,2.4,71.01,28.99,11.24,169,9.78,29.86,2.16
59327,Lallaing,59,6250,False,2.42,71.6,28.4,13.61,169,2.51,22.05,0.11
59328,Lambersart,59,27121,True,2.43,70.41,29.59,13.61,169,0.99,49.08,0.14
59329,Lambres-lez-Douai,59,4926,False,2.39,72.19,27.81,11.83,169,6.92,27.59,2.56
59330,Landas,59,2447,False,2.41,72.19,27.81,13.02,169,1.52,7.9,0.15
59332,Lannoy,59,1800,True,2.43,71.6,28.4,14.2,169,0.0,75.83,0.42
59334,Lauwin-Planque,59,1582,False,2.39,72.78,27.22,12.43,169,23.02,29.91,0.34
59180,Le Doulieu,59,1454,False,2.41,71.01,28.99,13.02,169,0.86,4.63,0.05
59335,Lecelles,59,3004,False,2.4,72.78,27.22,13.02,169,1.29,6.73,0.19
59339,Leers,59,9588,True,2.44,70.41,29.59,14.2,169,1.7,35.27,0.43
59340,Leffrinckoucke,59,4124,False,2.42,70.41,29.59,13.61,169,1.84,18.13,0.11
59343,Lesquin,59,9241,True,2.42,72.78,27.22,14.2,169,7.6,38.94,1.13
59345,Lewarde,59,2403,False,2.39,72.78,27.22,12.43,169,3.31,12.63,0.02
59346,Lezennes,59,3019,True,2.42,72.19,27.81,14.2,169,6.78,51.08,0.52
59348,Lieu-Saint-Amand,59,1461,False,2.39,72.19,27.81,11.24,169,2.46,23.72,0.3
59350,Lille,59,236710,True,2.43,71.01,28.99,13.61,169,0.59,63.9,0.52
59352,Linselles,59,8192,True,2.43,69.82,30.18,13.61,169,0.96,14.76,0.16
59356,Lompret,59,2182,True,2.42,70.41,29.59,13.61,169,2.05,22.45,0.56
59360,Loos,59,23013,True,2.41,72.19,27.81,13.61,169,3.24,42.81,0.97
59361,Lourches,59,3814,False,2.4,71.6,28.4,11.24,169,1.8,29.25,0.07
59367,Lys-lez-Lannoy,59,13793,True,2.44,70.41,29.59,14.2,169,0.66,60.96,0.16
59369,Maing,59,4004,False,2.4,71.6,28.4,11.24,169,1.12,9.21,1.25
59375,Marchiennes,59,4539,False,2.42,71.6,28.4,13.61,169,0.66,4.95,0.05
59378,Marcq-en-Barœul,59,39356,True,2.44,70.41,29.59,13.61,169,1.06,44.73,0.33
59382,Maretz,59,1417,False,2.37,71.6,28.4,8.28,169,0.44,4.19,0.05
59383,Marly,59,12024,False,2.39,71.01,28.99,10.06,169,0.84,29.88,0.41
59387,Marquette-en-Ostrevant,59,1931,False,2.38,72.78,27.22,11.24,169,1.04,5.89,0.02
59386,Marquette-lez-Lille,59,11213,True,2.44,70.41,29.59,13.61,169,3.07,42.25,1.42
59388,Marquillies,59,1982,True,2.4,71.6,28.4,13.02,169,0.15,7.16,0.02
59390,Masny,59,4056,False,2.4,71.6,28.4,12.43,169,0.66,13.18,0.26
59392,Maubeuge,59,29066,False,2.36,71.6,28.4,8.28,169,2.9,32.61,0.51
59399,Merris,59,1049,False,2.4,71.01,28.99,12.43,169,0.65,5.11,0.31
59400,Merville,59,9652,False,2.42,69.82,30.18,12.43,169,1.26,11.63,0.18
59408,Moncheaux,59,1703,False,2.4,73.37,26.63,14.2,169,2.16,8.22,0.14
59409,Monchecourt,59,2501,False,2.38,73.37,26.63,11.83,169,1.38,7.28,0.15
59410,Mons-en-Barœul,59,21467,True,2.42,72.19,27.81,13.61,169,0.0,63.37,0.26
59411,Mons-en-Pévèle,59,2089,False,2.41,72.78,27.22,14.2,169,1.25,6.2,0.14
59414,Montigny-en-Ostrevent,59,4681,False,2.4,71.6,28.4,11.83,169,2.41,19.06,0.31
59416,Morbecque,59,2509,False,2.43,68.05,31.95,12.43,169,0.51,2.51,0.04
59418,Mortagne-du-Nord,59,1584,False,2.38,72.78,27.22,12.43,169,2.2,18.27,0.23
59419,Mouchin,59,1441,False,2.37,73.37,26.63,11.24,169,0.84,5.79,0.09
59421,Mouvaux,59,13173,True,2.43,71.6,28.4,14.2,169,0.53,48.08,-0.02
59398,Mérignies,59,3360,False,2.4,73.37,26.63,14.2,169,5.78,11.66,1.09
59401,Méteren,59,2256,False,2.41,71.01,28.99,13.02,169,1.58,6.91,0.1
59423,Neuf-Berquin,59,1403,False,2.42,69.82,30.18,13.02,169,1.29,6.22,0.35
59426,Neuville-en-Ferrain,59,10160,True,2.42,71.6,28.4,14.2,169,5.14,43.26,0.68
59431,Nieppe,59,7606,False,2.4,71.6,28.4,13.61,169,1.23,13.68,0.3
59434,Nivelle,59,1379,False,2.4,72.78,27.22,13.02,169,2.05,8.0,0.19
59435,Nomain,59,2585,False,2.4,72.19,27.81,12.43,169,0.82,5.1,0.13
59447,Onnaing,59,8719,False,2.4,71.6,28.4,11.24,169,4.1,22.96,0.38
59449,Orchies,59,8455,False,2.4,72.19,27.81,13.02,169,1.9,20.48,0.07
59452,Ostricourt,59,5829,False,2.39,73.37,26.63,13.02,169,3.56,17.55,0.57
59456,Pecquencourt,59,6232,False,2.41,71.6,28.4,12.43,169,1.51,14.66,0.3
59459,Petite-Forêt,59,5058,False,2.4,71.6,28.4,11.83,169,5.09,40.28,-0.13
59462,Phalempin,59,4849,False,2.39,73.37,26.63,13.02,169,0.91,14.5,0.23
59466,Pont-à-Marcq,59,2883,False,2.4,72.78,27.22,13.61,169,6.64,34.2,1.14
59475,Prouvy,59,2173,False,2.4,71.01,28.99,11.24,169,9.32,29.48,1.62
59477,Provin,59,4469,True,2.4,72.19,27.81,13.02,169,4.18,22.11,0.19
59470,Prémesques,59,2060,True,2.42,70.41,29.59,13.61,169,1.5,10.07,0.11
59471,Préseau,59,2065,False,2.37,72.78,27.22,10.06,169,1.61,6.69,0.06
59457,Pérenchies,59,8519,True,2.41,71.01,28.99,13.61,169,1.67,44.09,0.26
59458,Péronne-en-Mélantois,59,1004,True,2.4,73.96,26.04,13.61,169,3.92,22.32,0.75
59479,Quarouble,59,3131,False,2.4,71.6,28.4,11.83,169,0.67,7.52,0.07
59482,Quesnoy-sur-Deûle,59,6920,True,2.43,69.23,30.77,13.61,169,0.99,11.39,-0.12
59485,Quiévy,59,1801,False,2.39,72.19,27.81,11.24,169,0.66,7.24,0.05
59487,Radinghem-en-Weppes,59,1393,True,2.41,71.01,28.99,13.61,169,0.98,5.95,0.1
59489,Raimbeaucourt,59,4015,False,2.41,72.78,27.22,14.2,169,0.9,9.29,0.11
59491,Raismes,59,12055,False,2.42,71.01,28.99,13.02,169,0.26,7.91,0.07
59497,Renescure,59,2128,False,2.4,69.82,30.18,10.65,169,0.83,6.4,0.17
59499,Rexpoëde,59,1992,False,2.37,71.6,28.4,10.06,169,1.67,4.98,0.14
59501,Rieulay,59,1243,False,2.41,71.01,28.99,12.43,169,0.37,5.85,-0.02
59502,Rieux-en-Cambrésis,59,1438,False,2.39,72.19,27.81,11.24,169,0.47,5.54,0.05
59507,Ronchin,59,19437,True,2.42,72.19,27.81,13.61,169,1.62,48.03,0.56
59508,Roncq,59,13784,True,2.43,71.01,28.99,14.2,169,2.61,30.88,0.59
59509,Roost-Warendin,59,5976,False,2.41,72.78,27.22,14.2,169,1.84,18.84,0.24
59511,Rosult,59,1973,False,2.4,72.78,27.22,12.43,169,3.22,10.69,0.03
59512,Roubaix,59,98892,True,2.44,69.82,30.18,13.61,169,0.03,71.81,0.13
59519,Rumegies,59,1740,False,2.4,72.78,27.22,12.43,169,1.65,6.78,0.06
59486,Râches,59,2660,False,2.41,72.19,27.81,14.2,169,2.31,13.6,0.14
59504,Rœulx,59,3779,False,2.39,72.19,27.81,11.24,169,3.78,17.53,-0.05
59522,Sailly-lez-Lannoy,59,1949,True,2.44,69.23,30.77,13.61,169,2.07,9.51,0.17
59523,Sainghin-en-Mélantois,59,2848,True,2.43,71.6,28.4,14.2,169,2.27,15.13,0.12
59524,Sainghin-en-Weppes,59,5641,True,2.4,72.19,27.81,13.61,169,0.86,12.35,0.2
59526,Saint-Amand-les-Eaux,59,15980,False,2.4,72.78,27.22,13.02,169,2.24,13.33,0.12
59527,Saint-André-lez-Lille,59,12942,True,2.44,70.41,29.59,13.61,169,0.93,52.48,1.2
59535,Saint-Jans-Cappel,59,1642,False,2.38,72.78,27.22,12.43,169,0.61,6.65,0.04
59544,Saint-Saulve,59,11117,False,2.41,71.01,28.99,11.83,169,1.53,21.72,0.11
59546,Saint-Sylvestre-Cappel,59,1154,False,2.38,71.6,28.4,10.65,169,2.21,6.5,0.07
59550,Salomé,59,3051,True,2.41,71.01,28.99,13.02,169,3.4,13.57,1.12
59551,Saméon,59,1738,False,2.4,72.78,27.22,12.43,169,2.03,6.01,0.14
59553,Santes,59,5660,True,2.4,72.19,27.81,13.61,169,1.32,22.22,1.99
59557,Saultain,59,2553,False,2.38,71.6,28.4,10.06,169,1.96,13.72,0.11
59559,Sebourg,59,1977,False,2.39,71.6,28.4,10.65,169,0.63,4.65,0.04
59560,Seclin,59,12834,True,2.4,73.37,26.63,14.2,169,1.11,23.13,0.33
59566,Sequedin,59,4762,True,2.41,72.19,27.81,13.61,169,2.98,38.52,-0.07
59569,Sin-le-Noble,59,15603,False,2.41,71.01,28.99,13.02,169,5.31,29.07,0.44
59574,Somain,59,11790,False,2.4,71.6,28.4,11.83,169,1.16,23.35,0.5
59578,Steenbecque,59,1650,False,2.4,69.82,30.18,10.65,169,0.76,6.58,0.02
59580,Steenvoorde,59,4324,False,2.38,72.19,27.81,11.24,169,1.11,6.97,0.08
59581,Steenwerck,59,3540,False,2.41,71.01,28.99,13.61,169,0.8,5.95,0.14
59585,Templemars,59,3635,True,2.42,72.78,27.22,14.2,169,1.03,24.26,0.19
59586,Templeuve-en-Pévèle,59,6705,False,2.4,73.37,26.63,14.2,169,2.36,10.86,0.54
59592,Thumeries,59,4029,False,2.39,73.96,26.04,13.61,169,1.31,13.77,0.34
59594,Thun-Saint-Amand,59,1110,False,2.4,72.78,27.22,13.02,169,1.76,8.89,0.02
59598,Toufflers,59,3910,True,2.44,69.82,30.18,13.61,169,0.64,34.58,1.39
59599,Tourcoing,59,99011,True,2.43,71.01,28.99,14.2,169,0.7,70.02,0.32
59602,Tressin,59,1395,True,2.42,72.19,27.81,14.2,169,1.05,20.21,0.48
59603,Trith-Saint-Léger,59,6124,False,2.4,71.01,28.99,11.24,169,0.14,36.23,0.06
59588,Téteghem-Coudekerque-Village,59,8384,False,2.43,69.82,30.18,13.02,169,1.75,8.23,0.21
59606,Valenciennes,59,42991,False,2.41,71.01,28.99,11.83,169,1.08,50.09,0.66
59609,Vendeville,59,1546,True,2.42,72.78,27.22,14.2,169,4.56,24.4,0.66
59610,Verchain-Maugré,59,1102,False,2.4,71.6,28.4,11.83,169,0.99,3.94,0.12
59611,Verlinghem,59,2673,True,2.44,69.23,30.77,13.61,169,1.25,9.7,0.61
59615,Vieux-Berquin,59,2649,False,2.42,69.23,30.77,12.43,169,0.74,4.15,0.09
59616,Vieux-Condé,59,10446,False,2.41,71.6,28.4,13.02,169,0.93,18.58,0.4
59009,Villeneuve-d'Ascq,59,62067,True,2.45,69.82,30.18,14.2,169,2.84,38.53,0.91
59622,Villers-en-Cauchies,59,1161,False,2.39,72.19,27.81,11.24,169,0.34,4.53,0.01
59629,Vred,59,1311,False,2.41,72.19,27.81,13.61,169,0.44,9.07,0.06
59630,Wahagnies,59,2605,False,2.39,73.96,26.04,13.61,169,1.32,9.42,0.11
59632,Wallers,59,5598,False,2.41,71.6,28.4,12.43,169,1.41,6.66,0.04
59636,Wambrechies,59,10798,True,2.43,69.82,30.18,13.61,169,3.03,16.0,0.07
59637,Wandignies-Hamage,59,1318,False,2.41,71.6,28.4,12.43,169,1.03,6.06,0.11
59638,Wannehain,59,1331,False,2.38,73.37,26.63,11.83,169,2.84,6.94,0.18
59639,Wargnies-le-Grand,59,1101,False,2.37,72.78,27.22,9.47,169,1.68,8.28,0.36
59641,Warhem,59,2022,False,2.41,69.23,30.77,10.65,169,0.46,3.36,0.08
59646,Wasquehal,59,20836,True,2.43,71.01,28.99,13.61,169,1.59,51.89,0.07
59647,Watten,59,2577,False,2.37,73.37,26.63,10.06,169,0.5,7.66,0.03
59648,Wattignies,59,15531,True,2.41,72.78,27.22,13.61,169,2.99,31.79,0.39
59650,Wattrelos,59,40836,True,2.45,69.82,30.18,14.79,169,1.35,42.16,1.09
59651,Wavrechain-sous-Denain,59,1616,False,2.4,71.01,28.99,11.24,169,0.86,12.63,0.17
59653,Wavrin,59,7773,True,2.41,71.6,28.4,13.61,169,0.96,15.23,0.52
59654,Waziers,59,7354,False,2.41,71.6,28.4,13.02,169,1.89,33.69,0.16
59656,Wervicq-Sud,59,5299,True,2.41,69.82,30.18,13.02,169,2.96,20.53,0.22
59660,Willems,59,2996,True,2.44,69.23,30.77,13.61,169,1.95,10.81,-0.01
59662,Winnezeele,59,1300,False,2.36,73.37,26.63,10.06,169,0.81,5.13,0.12
59663,Wormhout,59,5705,False,2.4,70.41,29.59,10.65,169,1.89,7.84,0.22
59185,Écaillon,59,1910,False,2.4,71.6,28.4,11.83,169,1.51,9.26,0.03
62004,Achicourt,62,7938,False,2.38,72.19,27.81,11.24,169,1.74,24.22,0.01
62013,Agny,62,1879,False,2.37,72.19,27.81,9.47,169,0.4,7.95,0.59
62014,Aire-sur-la-Lys,62,9585,False,2.41,69.82,30.18,11.24,169,2.15,10.74,0.2
62019,Aix-Noulette,62,3913,False,2.39,71.6,28.4,11.83,169,3.08,10.86,0.45
62032,Angres,62,4842,False,2.39,71.6,28.4,11.83,169,3.97,20.12,0.46
62033,Annay,62,4517,False,2.37,73.96,26.04,12.43,169,5.01,22.73,0.46
62034,Annequin,62,2145,False,2.41,70.41,29.59,12.43,169,1.93,11.82,0.07
62035,Annezin,62,5813,False,2.42,69.82,30.18,12.43,169,2.08,24.56,0.34
62037,Anzin-Saint-Aubin,62,2806,False,2.37,72.78,27.22,11.24,169,3.11,16.38,0.57
62040,Arques,62,9655,False,2.4,69.82,30.18,10.06,169,6.76,19.48,0.52
62041,Arras,62,42600,False,2.38,72.78,27.22,11.24,169,4.16,57.15,0.46
62042,Athies,62,1059,False,2.38,72.78,27.22,11.83,169,10.08,14.65,3.08
62048,Auchel,62,10062,False,2.38,72.19,27.81,11.24,169,1.14,33.92,0.04
62051,Auchy-les-Mines,62,4623,False,2.4,71.6,28.4,13.02,169,3.35,19.33,0.35
62065,Avion,62,17672,False,2.38,72.19,27.81,11.83,169,5.31,25.6,1.18
62073,Bailleul-Sir-Berthoult,62,1430,False,2.37,73.37,26.63,11.83,169,4.29,7.25,1.28
62083,Barlin,62,7366,False,2.4,71.6,28.4,11.83,169,2.08,21.06,0.13
62099,Beaurains,62,5515,False,2.38,72.19,27.81,11.24,169,8.0,24.12,0.88
62471,Bellinghem,62,1087,False,2.35,73.96,26.04,9.47,169,2.33,6.19,0.0
62126,Beuvry,62,9111,False,2.43,68.64,31.36,12.43,169,1.99,14.8,0.14
62128,Biache-Saint-Vaast,62,4481,False,2.39,72.19,27.81,11.83,169,1.75,11.62,0.36
62132,Billy-Berclau,62,5059,False,2.4,71.6,28.4,13.02,169,8.25,26.72,2.97
62133,Billy-Montigny,62,8117,False,2.37,73.37,26.63,11.83,169,2.63,45.85,0.14
