code_insee,commune,dep,PMUN,dans_MEL,acces_creche_moy_min,acces_creche_min_min,acces_maternelle_moy_min,acces_maternelle_min_min,acces_elementaire_moy_min,acces_elementaire_min_min,acces_college_moy_min,acces_college_min_min,acces_lycee_moy_min,acces_lycee_min_min,ecole_sur_place,college_sur_place,creche_sur_place,places_creche,part_0_14ans,places_creche_col_pour_100_moins3,couverture_petite_enfance_epci,couverture_creche_epci,couverture_assmat_epci
59197,Ennevelin,59,2356,False,6.1,2.3,1.8,1.0,1.8,1.0,7.2,2.5,12.6,8.4,1,0,0,0,19.6,0.0,76.0,19.9,46.5
59202,Erquinghem-Lys,59,5356,True,2.0,1.0,1.7,1.0,1.6,1.0,3.5,1.3,3.8,1.2,1,0,1,13,19.8,6.0,62.4,26.0,27.1
59203,Erre,59,1574,False,5.6,2.7,1.3,1.0,1.3,1.0,6.3,3.3,5.7,3.3,1,0,0,0,21.2,0.0,56.0,7.2,35.6
59205,Escaudain,59,9253,False,4.8,1.0,1.5,1.0,1.5,1.0,2.8,1.0,5.0,2.2,1,1,0,0,22.6,0.0,52.9,9.2,32.1
59207,Escautpont,59,4152,False,3.0,1.0,1.8,1.0,2.0,1.0,2.8,1.0,11.7,9.5,1,1,1,12,20.7,7.0,52.9,9.2,32.1
59210,Esquelbecq,59,2134,False,4.8,2.5,1.8,1.0,1.8,1.0,4.3,1.8,3.8,1.0,1,0,0,0,16.4,0.0,79.5,9.0,56.8
59212,Estaires,59,6496,False,2.8,1.0,2.0,1.0,1.9,1.0,1.9,1.0,2.8,1.0,1,1,1,29,19.0,12.0,73.5,14.7,46.8
59214,Estrées,59,1116,False,7.7,6.5,1.3,1.0,1.3,1.0,4.9,3.6,10.0,7.3,1,0,0,0,19.4,0.0,55.6,15.4,29.7
59220,Faches-Thumesnil,59,18110,True,1.7,1.0,1.2,1.0,1.2,1.0,2.3,1.0,4.4,2.4,1,1,1,130,21.2,17.0,62.4,26.0,27.1
59221,Famars,59,2475,False,3.0,1.0,1.6,1.0,1.6,1.0,4.2,2.4,3.5,1.9,1,0,1,15,13.3,23.0,50.4,16.1,24.0
59222,Faumont,59,2251,False,9.5,6.0,2.8,1.0,2.8,1.0,9.6,6.5,12.6,9.3,1,0,0,0,20.3,0.0,55.6,15.4,29.7
59227,Fenain,59,5529,False,4.9,2.6,1.9,1.0,1.7,1.0,5.7,2.1,4.7,2.4,1,0,0,0,20.7,0.0,56.0,7.2,35.6
59234,Flers-en-Escrebieux,59,5642,False,3.0,1.0,1.9,1.0,1.9,1.0,3.7,1.9,4.8,1.6,1,0,1,23,19.9,10.0,55.6,15.4,29.7
59239,Flines-lez-Raches,59,5610,False,3.1,1.0,2.2,1.0,2.1,1.0,3.2,1.0,11.4,7.3,1,1,1,24,19.0,11.0,55.6,15.4,29.7
59238,Flines-lès-Mortagne,59,1649,False,12.8,6.0,2.9,1.0,2.9,1.0,6.3,2.6,15.3,12.3,1,0,0,0,19.1,0.0,52.9,9.2,32.1
59244,Fontaine-Notre-Dame,59,1763,False,4.6,1.0,1.9,1.0,1.9,1.0,6.4,4.0,7.8,3.9,1,0,1,28,19.7,40.0,66.9,10.8,41.3
59247,Forest-sur-Marque,59,1659,True,5.7,4.6,1.7,1.0,1.7,1.0,6.6,5.3,7.6,6.5,1,0,0,0,19.5,0.0,62.4,26.0,27.1
59250,Fournes-en-Weppes,59,2190,True,8.9,6.5,1.6,1.0,1.6,1.0,2.3,1.0,5.8,2.7,1,1,0,0,18.0,0.0,62.4,26.0,27.1
59252,Frelinghien,59,2581,True,6.8,2.9,2.2,1.0,2.2,1.0,4.5,2.3,8.0,5.7,1,0,0,0,17.7,0.0,62.4,26.0,27.1
59253,Fresnes-sur-Escaut,59,7486,False,2.8,1.0,1.7,1.0,1.7,1.0,2.6,1.0,9.3,5.1,1,1,1,18,20.9,6.0,50.4,16.1,24.0
59256,Fretin,59,3227,True,7.0,3.2,2.2,1.0,2.2,1.0,8.3,1.7,13.3,7.4,1,0,0,0,18.7,0.0,62.4,26.0,27.1
59257,Fromelles,59,1076,True,11.5,7.0,1.7,1.0,1.7,1.0,4.4,2.5,9.9,7.5,1,0,0,0,20.6,0.0,62.4,26.0,27.1
59224,Féchain,59,1658,False,12.6,9.9,1.5,1.0,1.5,1.0,13.2,11.3,17.7,15.1,1,0,0,0,14.0,0.0,55.6,15.4,29.7
59228,Férin,59,1447,False,4.8,3.6,1.8,1.0,1.8,1.0,6.7,5.4,5.6,3.0,1,0,0,0,16.7,0.0,55.6,15.4,29.7
59258,Genech,59,2825,False,2.5,1.0,2.1,1.0,2.1,1.0,9.1,5.3,1.6,1.0,1,0,1,13,14.7,16.0,76.0,19.9,46.5
59260,Ghyvelde,59,4119,False,7.2,2.6,1.6,1.0,1.8,1.0,4.9,2.3,10.7,6.4,1,0,0,0,17.6,0.0,58.6,17.3,30.7
59262,Godewaersvelde,59,2053,False,8.2,4.9,1.8,1.0,1.8,1.0,6.7,3.3,15.2,12.0,1,0,0,0,19.8,0.0,74.6,11.3,49.7
59265,Gommegnies,59,2300,False,11.0,4.2,3.8,1.0,3.8,1.0,9.7,4.4,10.0,4.1,1,0,0,0,18.3,0.0,55.6,6.8,41.9
59266,Gondecourt,59,4050,False,4.3,1.0,2.2,1.0,2.2,1.0,2.6,1.0,2.4,1.0,1,1,0,0,18.2,0.0,76.0,19.9,46.5
59271,Grande-Synthe,59,20331,False,1.6,1.0,1.2,1.0,1.2,1.0,1.7,1.0,2.0,1.0,1,1,1,95,23.6,10.0,58.6,17.3,30.7
59275,Gruson,59,1237,True,7.7,4.1,1.4,1.0,1.4,1.0,7.1,3.5,12.6,9.3,1,0,0,0,15.6,0.0,62.4,26.0,27.1
59276,Guesnain,59,4656,False,5.8,3.8,2.0,1.0,2.1,1.0,3.5,1.0,5.7,3.7,1,0,0,0,18.7,0.0,55.6,15.4,29.7
59263,Gœulzin,59,1042,False,7.0,4.8,1.5,1.0,1.5,1.0,7.4,5.2,6.5,4.2,1,0,0,0,14.7,0.0,55.6,15.4,29.7
59278,Hallennes-lez-Haubourdin,59,4718,True,4.3,1.4,2.1,1.0,2.2,1.0,3.2,1.0,6.4,4.0,1,0,0,0,18.5,0.0,62.4,26.0,27.1
59279,Halluin,59,20829,True,1.9,1.0,1.6,1.0,1.6,1.0,2.0,1.0,3.2,1.0,1,1,1,69,20.4,8.0,62.4,26.0,27.1
59281,Hantay,59,1259,True,6.5,4.6,1.6,1.0,1.6,1.0,7.6,5.7,11.0,8.9,1,0,0,0,21.9,0.0,62.4,26.0,27.1
59284,Hasnon,59,3874,False,7.9,3.1,2.8,1.0,2.8,1.0,7.4,5.4,10.6,6.5,1,0,0,0,19.0,0.0,52.9,9.2,32.1
59286,Haubourdin,59,14757,True,2.6,1.0,1.8,1.0,1.8,1.0,2.2,1.0,3.7,1.0,1,1,1,61,18.7,11.0,62.4,26.0,27.1
59292,Haveluy,59,3250,False,4.7,2.9,1.3,1.0,1.6,1.0,3.9,2.7,3.4,2.0,1,0,0,0,22.2,0.0,52.9,9.2,32.1
59293,Haverskerque,59,1401,False,6.3,2.8,2.0,1.0,2.0,1.0,6.0,2.4,12.7,9.7,1,0,0,0,16.2,0.0,73.5,14.7,46.8
59295,Hazebrouck,59,21498,False,2.8,1.0,1.5,1.0,1.5,1.0,2.2,1.0,2.1,1.0,1,1,1,87,16.8,12.0,74.6,11.3,49.7
59299,Hem,59,18713,True,1.9,1.0,1.4,1.0,1.4,1.0,3.0,1.0,5.1,2.9,1,1,1,100,19.9,14.0,62.4,26.0,27.1
59301,Hergnies,59,4463,False,3.3,1.0,1.7,1.0,1.9,1.0,7.6,3.9,10.5,6.7,1,0,1,20,19.4,12.0,50.4,16.1,24.0
59303,Herlies,59,2323,True,11.7,8.8,2.1,1.0,2.1,1.0,4.8,2.6,8.3,6.1,1,0,0,0,18.3,0.0,62.4,26.0,27.1
59305,Herzeele,59,1634,False,6.8,4.0,1.9,1.0,1.9,1.0,6.6,3.8,8.8,6.2,1,0,0,0,22.1,0.0,79.5,9.0,56.8
59309,Hondschoote,59,4026,False,2.0,1.0,1.6,1.0,1.7,1.0,1.6,1.0,16.8,14.0,1,1,1,15,20.6,9.0,79.5,9.0,56.8
59314,Hornaing,59,3535,False,7.0,3.8,1.3,1.0,1.3,1.0,7.3,3.6,7.5,4.3,1,0,0,0,20.5,0.0,56.0,7.2,35.6
59316,Houplin-Ancoisne,59,3275,True,6.8,3.9,2.6,1.0,2.5,1.0,7.4,3.6,8.3,4.7,1,0,0,0,17.4,0.0,62.4,26.0,27.1
59317,Houplines,59,7897,True,4.1,1.4,1.9,1.0,1.8,1.0,2.8,1.0,4.8,2.3,1,1,0,0,19.9,0.0,62.4,26.0,27.1
59297,Hélesmes,59,1921,False,5.8,1.5,1.7,1.0,1.7,1.0,5.7,2.0,9.1,5.3,1,0,0,0,20.7,0.0,52.9,9.2,32.1
59302,Hérin,59,4129,False,1.7,1.0,1.4,1.0,1.7,1.0,5.2,2.6,6.6,4.1,1,0,1,11,19.9,7.0,52.9,9.2,32.1
59320,Illies,59,1664,True,9.6,6.5,1.8,1.0,1.8,1.0,5.5,3.1,6.3,3.6,1,0,0,0,23.4,0.0,62.4,26.0,27.1
59051,La Bassée,59,6622,True,5.0,3.0,1.4,1.0,1.5,1.0,1.7,1.0,2.3,1.0,1,1,0,0,18.2,0.0,62.4,26.0,27.1
59143,La Chapelle-d'Armentières,59,8719,True,2.4,1.0,1.5,1.0,1.5,1.0,3.3,1.0,5.0,1.8,1,1,1,20,18.5,6.0,62.4,26.0,27.1
59268,La Gorgue,59,5599,False,2.4,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.6,2.7,1,0,1,20,17.8,10.0,73.5,14.7,46.8
59368,La Madeleine,59,22488,True,1.6,1.0,1.4,1.0,1.6,1.0,2.3,1.0,2.6,1.0,1,1,1,191,16.4,26.0,62.4,26.0,27.1
59564,La Sentinelle,59,3143,False,2.6,1.0,1.8,1.0,1.6,1.0,2.6,1.5,2.9,1.4,1,0,0,0,18.6,0.0,52.9,9.2,32.1
59327,Lallaing,59,6250,False,4.2,1.0,1.5,1.0,1.4,1.0,4.0,1.0,7.1,2.7,1,1,1,24,18.0,11.0,55.6,15.4,29.7
59328,Lambersart,59,27121,True,1.8,1.0,1.5,1.0,1.4,1.0,2.2,1.0,2.2,1.0,1,1,1,210,18.3,21.0,62.4,26.0,27.1
59329,Lambres-lez-Douai,59,4926,False,2.5,1.0,1.8,1.0,1.8,1.0,3.1,1.0,3.6,1.4,1,1,1,43,17.3,25.0,55.6,15.4,29.7
59330,Landas,59,2447,False,7.5,2.1,2.7,1.0,2.7,1.0,8.7,2.9,8.4,2.5,1,0,0,0,17.4,0.0,76.0,19.9,46.5
59332,Lannoy,59,1800,True,2.2,1.6,1.6,1.0,1.5,1.0,4.2,3.4,4.2,3.4,0,0,0,0,16.6,0.0,62.4,26.0,27.1
59334,Lauwin-Planque,59,1582,False,4.1,2.0,1.7,1.0,1.7,1.0,3.8,1.8,5.7,3.2,1,0,0,0,18.0,0.0,55.6,15.4,29.7
59180,Le Doulieu,59,1454,False,9.3,5.8,2.0,1.0,2.0,1.0,7.6,3.9,9.3,5.2,1,0,0,0,19.6,0.0,74.6,11.3,49.7
59335,Lecelles,59,3004,False,6.9,3.0,2.4,1.0,2.4,1.0,6.7,2.4,7.4,3.1,1,0,0,0,18.6,0.0,52.9,9.2,32.1
59339,Leers,59,9588,True,2.5,1.0,1.8,1.0,1.9,1.0,2.9,1.0,6.2,2.8,1,1,1,112,17.6,33.0,62.4,26.0,27.1
59340,Leffrinckoucke,59,4124,False,3.3,1.5,2.2,1.0,2.3,1.0,3.9,2.1,5.3,3.5,1,0,0,0,13.3,0.0,58.6,17.3,30.7
59343,Lesquin,59,9241,True,2.6,1.0,1.8,1.0,1.9,1.0,2.3,1.0,7.7,4.9,1,1,1,63,20.9,16.0,62.4,26.0,27.1
59345,Lewarde,59,2403,False,7.3,5.9,1.8,1.0,1.7,1.0,4.6,3.2,7.2,5.8,1,0,0,0,18.6,0.0,56.0,7.2,35.6
59346,Lezennes,59,3019,True,1.5,1.0,1.5,1.0,1.4,1.0,3.9,2.1,5.3,3.3,1,0,1,21,17.9,20.0,62.4,26.0,27.1
59348,Lieu-Saint-Amand,59,1461,False,4.0,1.5,1.5,1.0,1.5,1.0,6.4,3.8,10.8,6.3,1,0,0,0,21.0,0.0,52.9,9.2,32.1
59350,Lille,59,236710,True,1.6,1.0,1.5,1.0,1.5,1.0,2.2,1.0,2.6,1.0,1,1,1,2102,14.4,31.0,62.4,26.0,27.1
59352,Linselles,59,8192,True,2.6,1.0,2.0,1.0,2.0,1.0,2.3,1.0,6.5,2.9,1,1,1,24,17.0,9.0,62.4,26.0,27.1
59356,Lompret,59,2182,True,3.1,1.0,2.0,1.0,2.0,1.0,3.6,1.0,5.1,1.8,1,0,0,0,17.3,0.0,62.4,26.0,27.1
59360,Loos,59,23013,True,1.8,1.0,1.4,1.0,1.3,1.0,2.2,1.0,2.4,1.0,1,1,1,115,19.0,13.0,62.4,26.0,27.1
59361,Lourches,59,3814,False,1.7,1.0,1.4,1.0,1.5,1.0,1.5,1.0,4.2,2.5,1,1,1,12,23.4,7.0,52.9,9.2,32.1
59367,Lys-lez-Lannoy,59,13793,True,2.5,1.0,1.5,1.0,1.7,1.0,3.4,1.2,3.9,1.2,1,1,1,44,19.3,8.0,62.4,26.0,27.1
59369,Maing,59,4004,False,3.5,1.0,2.0,1.0,2.0,1.0,4.0,1.0,6.1,2.3,1,0,0,0,17.9,0.0,50.4,16.1,24.0
59375,Marchiennes,59,4539,False,8.7,3.7,1.8,1.0,1.7,1.0,2.9,1.0,7.4,3.8,1,1,0,0,18.2,0.0,56.0,7.2,35.6
59378,Marcq-en-Barœul,59,39356,True,2.1,1.0,1.5,1.0,1.5,1.0,2.5,1.0,2.7,1.0,1,1,1,323,18.3,22.0,62.4,26.0,27.1
59382,Maretz,59,1417,False,12.3,9.4,1.5,1.0,1.5,1.0,12.1,9.8,13.1,10.2,1,0,0,0,19.4,0.0,57.2,4.4,40.2
59383,Marly,59,12024,False,2.3,1.0,1.7,1.0,1.8,1.0,3.1,1.0,3.2,1.0,1,1,1,95,19.2,21.0,50.4,16.1,24.0
59387,Marquette-en-Ostrevant,59,1931,False,8.0,6.0,1.3,1.0,1.3,1.0,6.3,4.3,11.4,8.5,1,0,0,0,22.8,0.0,52.9,9.2,32.1
59386,Marquette-lez-Lille,59,11213,True,1.8,1.0,1.6,1.0,1.6,1.0,3.1,1.0,3.7,1.0,1,1,1,115,19.8,25.0,62.4,26.0,27.1
59388,Marquillies,59,1982,True,9.4,6.9,1.6,1.0,1.6,1.0,7.6,5.5,9.0,7.0,1,0,0,0,19.3,0.0,62.4,26.0,27.1
